Area,Course,Date,Skills,Technology,Stars,Order,Cerificate,Instructor,Company,Theory,Practice,Total,Country
Information technology,Essentials of Cryptography and Network Security,2015-01-07,Security,Criptography,,,Yes,Lisa Bock,Linkedin,2,4,6,United States
Information technology,Windows 10  New Futures,2015-01-07,Operational Systems,Windows,,,Yes,Garrick Chow,Linkedin,2,4,6,United States
Business,Working with Upset Customers,2015-01-07,Team Building,Concepts,,,Yes,Jeff Toister,Linkedin,1,0,1,United States
Business,Learning to be Assertive,2015-01-07,Concepts,Concepts,,,Yes,Chris Croft,Linkedin,1,0,1,United States
Business,The Fundamentals of Document Retention and Data Management,2015-01-07,Data Management,Concepts,,,Yes,Willian Joseph,Linkedin,2,0,2,United States
Project Management,Agile Project Management With a Microsoft Project,2015-01-06,Agile,Concepts,,,Yes,Bonnie Biafore,Linkedin,2,0,2,United States
Project Management,Agile at Work  Planning With Agile User Stories,2015-01-06,Agile,Concepts,,,Yes,Doug Rose,Linkedin,1,0,1,United States
Data Science,Wayne Wilston In Analytics,2015-01-06,Data Modeling,Analytics,,,Yes,Wayne Wilston,Linkedin,1,2,3,United States
Information technology,Design the Web : Adding Dynamic Qrcodes,2015-01-06,Web Development,Concepts,,,Yes,Chris Converse,Linkedin,1,2,3,United States
Business,Influencing Others,2015-01-06,Marketing,Concepts,,,Yes,John Ulmen,Linkedin,2,0,2,United States
Business,Leading with Emotional Inteligence,2015-01-06,Concepts,Concepts,,,Yes,Britt Andreatta,Linkedin,2,0,2,United States
Project Management,Practical Project Management for Creative Projects,2015-01-05,Agile,Concepts,,,Yes,Jeff Blomfield,Linkedin,3,0,3,United States
Project Management,Advanced Microsoft Project,2015-01-05,MS Project,Concepts,,,Yes,Bonnie Biafore,Linkedin,5,0,5,United States
Data Science,Foundations of Business Analytics: Prescritive Analitics,2015-01-05,Analytics,Concepts,,,Yes,Alan Simon,Linkedin,3,6,9,United States
Information technology,Cybersecurity with Cloud Computing,2015-01-05,Cloud computing,Concepts,,,Yes,Malcolm Shore,Linkedin,3,6,9,United States
Business,Meeting the Chalenge of a Digital Transformation,2015-01-05,Inovation,Concepts,,,Yes,John Mancini,Linkedin,1,0,1,United States
Business,Business Innovation Fundamentals,2015-01-05,Inovation,Concepts,,,Yes,Drew Boyd,Linkedin,3,0,3,United States
Business,Decision Making Fundamentals,2015-01-05,Productivity,Concepts,,,Yes,Mike Figliuolo,Linkedin,1,0,1,United States
Business,The Science of Sales,2015-01-05,Sales,Concepts,,,Yes,Jeff Bloomfield,Linkedin,1,0,1,United States
Business,How to Rock Social Media,2015-01-05,Marketing,Concepts,,,Yes,Guy Kawasaky,Linkedin,1,0,1,United States
Project Management,Managing Project Schedules,2015-01-04,PMBOK,Concepts,,,Yes,Bonnie Biafore,Linkedin,1.5,0,1.5,United States
Project Management,Microsoft Project Server 2013 Administration,2015-01-04,MS Project,Concepts,,,Yes,John Riopel,Linkedin,2,0,2,United States
Business,Unleash the Power within,2015-01-04,Productivity,Concepts,,,Yes,Anthony Robbins,Success Resources,40,0,40,United Kingdown
Data Science,Machine Learning Toolbox,2014-12-01,Analytics,R,,,Yes,Zachary DeaneMayer,Data Camp,4,8,12,Belgium
Data Science,Introduction to Machine Learning,2014-11-01,Analytics,R,,,Yes,Vincent Vankrunkelsven,Data Camp,6,12,18,Belgium
Data Science,Exploratory Data Analysis,2014-10-01,Coding,R,,,Yes,Andrew Bray,Data Camp,4,8,12,Belgium
Information technology,Manipulating Time Series Data in R with xts & Zoo,2014-09-01,Quant Finances,R,,,Yes,Jeffrey Ryan,Data Camp,4,8,12,Belgium
Data Science,Writing Functions in R,2014-08-01,Coding,R,,,Yes,Hadley Wickham,Data Camp,4,8,12,Belgium
